EM_QUAL_DEPARTAMENTO_DO_CEPEL_VOCE_ESTA_ALOCADO,HA_QUANTO_TEMPO_VOCE_JA_PROGRAMA_DESENVOLVE_SISTEMAS,RESPOSTA,TECNOLOGIA,TOTAL,CATEGORIA
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,EXTREME_PROGRAMMING_XP,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,KANBAN,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,OUTRO,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,PMBOK,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,SAFE,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,SWEBOK,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Uso atualmente,SCRUM,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,KANBAN,2,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,DMBOK,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,PMBOK,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,SAFE,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,SWEBOK,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,DMBOK,2,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,EXTREME_PROGRAMMING_XP,2,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,OUTRO,3,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,PMBOK,2,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,SAFE,2,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,SWEBOK,2,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Uso atualmente,EXTREME_PROGRAMMING_XP,1,METODOLOGIAS_GESTAO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Uso atualmente,KANBAN,1,METODOLOGIAS_GESTAO
