EM_QUAL_DEPARTAMENTO_DO_CEPEL_VOCE_ESTA_ALOCADO,FAVOR_APONTAR_SUA_FAIXA_ETARIA,FAVOR_APONTAR_O_SEU_TEMPO_DE_CASA_NO_CEPEL,FAVOR_APONTAR_SEU_MAIOR_NIVEL_DE_FORMACAO_EDUCACIONAL,HA_QUANTO_TEMPO_VOCE_JA_PROGRAMA_DESENVOLVE_SISTEMAS,HA_QUANTO_TEMPO_VOCE_JA_TRABALHA_COM_DADOS_GOVERNANCA_ENGENHARIA_CIENCIA_OU_ANALISE_DE_DADOS,SENIORIDADE_TEMPO_DE_CASA_NO_CEPEL,SENIORIDADE_TEMPO_VOCE_JA_PROGRAMA_DESENVOLVE_SISTEMAS,SENIORIDADE_TEMPO_VOCE_JA_TRABALHA_COM_DADOS_GOVERNANCA_ENGENHARIA_CIENCIA_OU_ANALISE_DE_DADOS,TECNOLOGIA,RESPOSTA,CATEGORIA,TOTAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,ECLIPSE,Já usei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,EMACS,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,EXTREME_PROGRAMMING_XP,Não tenho opinião / Não sei,METODOLOGIAS_GESTAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,FLUXCD,Não tenho opinião / Não sei,CI_CD,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,FORTRAN,Já usei,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GITHUB_ACTIONS,Não tenho opinião / Não sei,CI_CD,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GITHUB_CODESPACES,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GITLAB_CICD,Não tenho opinião / Não sei,CI_CD,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GIT_BITBUCKET,Uso atualmente,CONTROLE_DE_VERSAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GIT_GITHUB,Uso atualmente,CONTROLE_DE_VERSAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GIT_GITLAB,Me interesso em usar,CONTROLE_DE_VERSAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GIT_LFS_LARGE_FILE_STORAGE,Não tenho opinião / Não sei,CONTROLE_DE_VERSAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GLPI,Não tenho opinião / Não sei,FERRAMENTAS_GESTAO_PROJETOS,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GO,Me interesso em usar,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,GOOGLE_COLABORATORY,Já usei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,INTELLIJ_IDEA,Me interesso em usar,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,IOS,Me interesso em usar,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,JAVA,Me interesso em usar,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,JAVASCRIPT,Uso atualmente,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,JENKINS,Não tenho opinião / Não sei,CI_CD,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,JIRA,Uso atualmente,FERRAMENTAS_GESTAO_PROJETOS,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,JULIA,Não tenho opinião / Não sei,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,JUPYTER_LABNOTEBOOK,Já usei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,KAGGLE_NOTEBOOKS,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,KANBAN,Já usei,METODOLOGIAS_GESTAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,KEEP_A_CHANGELOG,Uso atualmente,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,KUBERNETES,Não tenho opinião / Não sei,VIRTUALIZACAO_E_ACESSO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,LABVIEW,Me interesso em usar,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,LABVIEW2,Me interesso em usar,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,LAKEFS,Não tenho opinião / Não sei,CONTROLE_DE_VERSAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,LINEAR,Não tenho opinião / Não sei,FERRAMENTAS_GESTAO_PROJETOS,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,LINUX_ALPINE,Não tenho opinião / Não sei,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,LINUX_ARCH_MANJARO_ENDEAVOUROS,Uso atualmente,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,LINUX_DEBIAN_UBUNTU_MINT_KALI,Me interesso em usar,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,LINUX_RED_HAT_FEDORA_CENTOS_ROCKY,Não tenho opinião / Não sei,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,LINUX_SUSE,Não tenho opinião / Não sei,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MACOS,Me interesso em usar,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MANTIS,Não tenho opinião / Não sei,FERRAMENTAS_GESTAO_PROJETOS,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MATLAB,Já usei,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MERCURIAL,Não tenho opinião / Não sei,CONTROLE_DE_VERSAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MIRO,Já usei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MKDOCS,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MLOPS,Não tenho opinião / Não sei,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MONDAYCOM,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MS_SHAREPOINT,Já usei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MS_TEAMS,Uso atualmente,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MS_VISUAL_STUDIO,Já usei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,MS_WHITEBOARD,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,NETBEAMS,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,NORNIR,Não tenho opinião / Não sei,INFRAESTRUTURA_COMO_CODIGO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,NOTION,Me interesso em usar,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OBS_STUDIO,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OCTOPUSDEPLOY,Não tenho opinião / Não sei,CI_CD,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OPENTOFU,Não tenho opinião / Não sei,INFRAESTRUTURA_COMO_CODIGO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OPSLEVEL,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRA,Não tenho opinião / Não sei,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,CI_CD,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,CONTROLE_DE_VERSAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,FERRAMENTAS_GESTAO_PROJETOS,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,INFRAESTRUTURA_COMO_CODIGO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,METODOLOGIAS_GESTAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,OUTRO,Não tenho opinião / Não sei,VIRTUALIZACAO_E_ACESSO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,PHP,Me interesso em usar,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,PLANNER,Não tenho opinião / Não sei,FERRAMENTAS_GESTAO_PROJETOS,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,PLANTUML,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,PMBOK,Não tenho opinião / Não sei,METODOLOGIAS_GESTAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,PODMAN,Não tenho opinião / Não sei,VIRTUALIZACAO_E_ACESSO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,PORT,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,PRINCIPIOS_KISS,Me interesso em usar,BOAS_PRATICAS_ENGENHARIA,1
